User-ID,Rating Count
11676,13602
198711,7550
153662,6109
98391,5891
35859,5850
212898,4785
278418,4533
76352,3367
110973,3100
235105,3067
230522,2991
16795,2948
234623,2674
36836,2529
52584,2512
245963,2507
204864,2504
55492,2459
185233,2448
171118,2421
102967,2352
232131,2347
227447,2340
98741,2317
129358,2317
60244,2236
190925,2154
135149,2100
231210,2017
189835,1973
189334,1924
69697,1915
78783,1879
177458,1819
172742,1810
73394,1804
242824,1747
269566,1737
213350,1718
23768,1708
238781,1685
175003,1670
226545,1623
36606,1607
182085,1606
11601,1571
148744,1550
123981,1549
26544,1535
43246,1534
