ISBN,Average Rating,Title,Author,Publisher
0091842050,9.181818181818182,The Blue Day Book: A Lesson in Cheering Yourself Up,Bradley Trevor Greive,Random House Australia
0920668364,8.5,Love You Forever,Robert Munsch,Firefly Books Ltd
0316779059,8.461538461538462,The Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two,Martha Sears,"Little, Brown"
0385324138,8.3,The Outlandish Companion,DIANA GABALDON,Delacorte Press
0394823370,8.166666666666666,The Lorax,Dr. Seuss,Random House Children's Books
034543014X,8.1,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure (The 'Good Parts' Version),William Goldman,Ballantine Books
3522128001,8.071428571428571,Die unendliche Geschichte: Von A bis Z,Michael Ende,Thienemann
0615116426,8.066666666666666,"Marching Through Culpeper : A Novel of Culpeper, Virginia, Crossroads of the Civil War",Virginia Beard Morton,Edgehill Books
0394800893,8.0,The Sneetches and Other Stories,Dr. Seuss,Random House Children's Books
3551551936,8.0,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,Carlsen Verlag GmbH
0006513220,8.0,,,
01402.5448X,8.0,,,
1844262553,7.962962962962963,Free,Paul Vincent,Upfront Publishing
0609805363,7.909090909090909,Beyond Civilization: Humanity's Next Great Adventure,Daniel Quinn,Three Rivers Press (CA)
0394756827,7.9,"Godel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,Vintage Books USA
0740718398,7.9,When Did Ignorance Become A Point Of View,Scott Adams,Andrews McMeel Publishing
0836213122,7.882352941176471,There's Treasure Everywhere--A Calvin and Hobbes Collection,Bill Watterson,Andrews McMeel Publishing
8478886451,7.875,Harry Potter y el cÃ¡liz de fuego,J. K. Rowling,Lectorum Publications
0805013407,7.8,The Night the Bear Ate Goombaw,Patrick R. McManus,Owl Books (NY)
0434003484,7.8,,,
3423071516,7.8,Der Kleine Hobbit,J. R. R. Tolkien,Distribooks
0786918063,7.8,"Test of the Twins (Dragonlance Legends, Vol. 3)",Margaret Weis,Wizards of the Coast
189205101X,7.7,Guinness World Records 2001,Tim Footman,I B S Books Stocked
0446610771,7.615384615384615,Warchild,Karin Lowachee,Aspect
0385493622,7.6,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,Anchor Books/Doubleday
8826703132,7.555555555555555,,,
1577780728,7.533333333333333,"Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks",DC Talk,Bethany House Publishers
8445071416,7.478260869565218,El Hobbit,J. R. R. Tolkien,Minotauro
0684847817,7.454545454545454,Good Faeries Bad Faeries,Brian Froud,Simon &amp; Schuster
0517093650,7.4,Ain't I A Woman!: A Book of Women's Poetry from Around the World,Illona Linthwaite,Gramercy Books
0452279623,7.363636363636363,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,New American Library
074754624X,7.363636363636363,,,
0394800796,7.3076923076923075,How the Grinch Stole Christmas!,Dr. Seuss,Random House Books for Young Readers
1576737535,7.3,The Truth Seeker (O'Malley #3),Dee Henderson,Multnomah
1563890895,7.2727272727272725,"A Game of You (Sandman, Book 5)",Neil Gaiman,DC Comics
0061073628,7.25,A Night Without Armor : Poems,Jewel,Perennial Currents
0060294698,7.235294117647059,All-American Girl,Meg Cabot,HarperCollins
0152567089,7.214285714285714,The Napping House,Audrey Wood,Harcourt Children's Books
0394800389,7.2105263157894735,Fox in Socks (I Can Read It All by Myself Beginner Books),Dr. Seuss,Random House Children's Books
0452279607,7.2,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,Plume Books
0553282182,7.2,Alicia: My Story,Alicia Appleman-Jurman,Bantam Books
0895297272,7.142857142857143,"Prescription for Nutritional Healing: A Practical A-Z Reference to Drug-Free Remedies Using Vitamins, Minerals, Herbs &amp; Food Supplements","James F., Md. Balch",Avery Publishing Group
061815082X,7.133333333333334,"The Hobbit (Young Adult edition, Sis cover)",J. R. R. Tolkien,Houghton Mifflin Company
0060256672,7.121212121212121,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,HarperCollins
0064440508,7.1,A Kiss for Little Bear,Else Holmelund Minarik,HarperTrophy
0722119577,7.090909090909091,,,
0140283706,7.0,,,
0898159954,7.0,FAT!SO? : Because You Don't Have to Apologize for Your Size,Marilyn Wann,Ten Speed Press
0971942315,7.0,The Greatest Discovery,Chris Sorensen,Pond Publishing
0805063196,7.0,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,Metropolitan Books
