ISBN,count,mean,score,Book-Title,Book-Author,Image-URL-M
1844262553,54,7.962962962962963,7.453361686583521,Free,Paul Vincent,http://images.amazon.com/images/P/1844262553.01.MZZZZZZZ.jpg
0091842050,11,9.181818181818182,6.953041246765366,The Blue Day Book: A Lesson in Cheering Yourself Up,Bradley Trevor Greive,http://images.amazon.com/images/P/0091842050.01.MZZZZZZZ.jpg
1563891336,9,9.444444444444445,6.8134467463340815,Death: The High Cost of Living,Neil Gaiman,http://images.amazon.com/images/P/1563891336.01.MZZZZZZZ.jpg
8826703132,27,7.555555555555555,6.703081854394279,,,
0316779059,13,8.461538461538462,6.694826378684801,The Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two,Martha Sears,http://images.amazon.com/images/P/0316779059.01.MZZZZZZZ.jpg
0385326335,8,9.5,6.6572643710722295,A Letter to Mrs. Roosevelt,C. COCO DE YOUNG,http://images.amazon.com/images/P/0385326335.01.MZZZZZZZ.jpg
0823401898,8,9.5,6.6572643710722295,The Shrinking of Treehorn,Florence Parry Heide,http://images.amazon.com/images/P/0823401898.01.MZZZZZZZ.jpg
0615116426,15,8.066666666666666,6.5810333902386295,"Marching Through Culpeper : A Novel of Culpeper, Virginia, Crossroads of the Civil War",Virginia Beard Morton,http://images.amazon.com/images/P/0615116426.01.MZZZZZZZ.jpg
0836213122,17,7.882352941176471,6.573987008478749,There's Treasure Everywhere--A Calvin and Hobbes Collection,Bill Watterson,http://images.amazon.com/images/P/0836213122.01.MZZZZZZZ.jpg
8445071416,23,7.478260869565218,6.524196592931421,El Hobbit,J. R. R. Tolkien,http://images.amazon.com/images/P/8445071416.01.MZZZZZZZ.jpg
2205054252,8,9.25,6.514407228215087,"Le Combat ordinaire, tome 1",Larcenet,http://images.amazon.com/images/P/2205054252.01.MZZZZZZZ.jpg
1563895730,8,9.25,6.514407228215087,Sandman: The Dream Hunters,Neil Gaiman,http://images.amazon.com/images/P/1563895730.01.MZZZZZZZ.jpg
3522128001,14,8.071428571428571,6.51008505975056,Die unendliche Geschichte: Von A bis Z,Michael Ende,http://images.amazon.com/images/P/3522128001.01.MZZZZZZZ.jpg
8478886451,16,7.875,6.5091682361368735,Harry Potter y el cÃ¡liz de fuego,J. K. Rowling,http://images.amazon.com/images/P/8478886451.01.MZZZZZZZ.jpg
0439064864,170,6.6117647058823525,6.484100574971654,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg
0060256672,33,7.121212121212121,6.46671028705157,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,http://images.amazon.com/images/P/0060256672.01.MZZZZZZZ.jpg
1563891387,8,9.125,6.442978656786516,"Brief Lives (Sandman, Book 7)",Neil Gaiman,http://images.amazon.com/images/P/1563891387.01.MZZZZZZZ.jpg
0395193958,6,10.0,6.433475099584268,The Lord of the Rings (Leatherette Collector's Edition),J. R. R. Tolkien,http://images.amazon.com/images/P/0395193958.01.MZZZZZZZ.jpg
0439139597,194,6.541237113402062,6.431008505975056,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
1563893339,7,9.428571428571429,6.400130861154709,Death : The Time of Your Life (Death),Neil Gaiman,http://images.amazon.com/images/P/1563893339.01.MZZZZZZZ.jpg
0394823370,12,8.166666666666666,6.400094510833956,The Lorax,Dr. Seuss,http://images.amazon.com/images/P/0394823370.01.MZZZZZZZ.jpg
3423071516,15,7.8,6.390557199762439,Der Kleine Hobbit,J. R. R. Tolkien,http://images.amazon.com/images/P/3423071516.01.MZZZZZZZ.jpg
0920668364,10,8.5,6.3876063246882016,Love You Forever,Robert Munsch,http://images.amazon.com/images/P/0920668364.01.MZZZZZZZ.jpg
0006513220,13,8.0,6.37903690500059,,,
0060248025,38,6.921052631578948,6.3682204817048005,Falling Up,Shel Silverstein,http://images.amazon.com/images/P/0060248025.01.MZZZZZZZ.jpg
0439136350,197,6.467005076142132,6.360599513275918,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
2253007102,7,9.285714285714286,6.3232077842316325,Les Fleurs Du Mal,C. Baudelaire,http://images.amazon.com/images/P/2253007102.01.MZZZZZZZ.jpg
3551551936,12,8.0,6.288983399722845,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,http://images.amazon.com/images/P/3551551936.01.MZZZZZZZ.jpg
1561840564,6,9.666666666666666,6.2668084329176015,Prometheus Rising,Robert Anton Wilson,http://images.amazon.com/images/P/1561840564.01.MZZZZZZZ.jpg
0385324138,10,8.3,6.2626063246882016,The Outlandish Companion,DIANA GABALDON,http://images.amazon.com/images/P/0385324138.01.MZZZZZZZ.jpg
1572460733,7,9.142857142857142,6.246284707308555,The Law,Frederic Bastiat,http://images.amazon.com/images/P/1572460733.01.MZZZZZZZ.jpg
0590353403,168,6.363095238095238,6.242538512615007,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
1577780728,15,7.533333333333333,6.200081009286249,"Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks",DC Talk,http://images.amazon.com/images/P/1577780728.01.MZZZZZZZ.jpg
0394800389,19,7.2105263157894735,6.168068047800448,Fox in Socks (I Can Read It All by Myself Beginner Books),Dr. Seuss,http://images.amazon.com/images/P/0394800389.01.MZZZZZZZ.jpg
034543014X,10,8.1,6.1376063246882016,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure (The 'Good Parts' Version),William Goldman,http://images.amazon.com/images/P/034543014X.01.MZZZZZZZ.jpg
0553274325,32,6.75,6.1368868735529265,Johnny Got His Gun,Dalton Trumbo,http://images.amazon.com/images/P/0553274325.01.MZZZZZZZ.jpg
0609805363,11,7.909090909090909,6.1295118350006605,Beyond Civilization: Humanity's Next Great Adventure,Daniel Quinn,http://images.amazon.com/images/P/0609805363.01.MZZZZZZZ.jpg
0064440508,20,7.1,6.123142353654278,A Kiss for Little Bear,Else Holmelund Minarik,http://images.amazon.com/images/P/0064440508.01.MZZZZZZZ.jpg
0446610771,13,7.615384615384615,6.115879010263748,Warchild,Karin Lowachee,http://images.amazon.com/images/P/0446610771.01.MZZZZZZZ.jpg
0931580587,6,9.333333333333334,6.100141766250935,Ain't Nobody's Business If You Do : The Absurdity of Consensual Crimes in Our Free Country,Peter McWilliams,http://images.amazon.com/images/P/0931580587.01.MZZZZZZZ.jpg
0060294698,17,7.235294117647059,6.095726138913531,All-American Girl,Meg Cabot,http://images.amazon.com/images/P/0060294698.01.MZZZZZZZ.jpg
0452279615,7,8.857142857142858,6.092438553462402,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,http://images.amazon.com/images/P/0452279615.01.MZZZZZZZ.jpg
0060278250,7,8.857142857142858,6.092438553462402,Abhorsen (The Abhorsen Trilogy),Garth Nix,http://images.amazon.com/images/P/0060278250.01.MZZZZZZZ.jpg
0684842319,8,8.5,6.085835799643658,Our Bodies Ourselves For The New Century (A Touchstone book),Boston Women's Health Book Collective,http://images.amazon.com/images/P/0684842319.01.MZZZZZZZ.jpg
1591820073,9,8.222222222222221,6.080113413000747,Chobits (Chobits),Clamp,http://images.amazon.com/images/P/1591820073.01.MZZZZZZZ.jpg
0141001682,9,8.222222222222221,6.080113413000747,Life Is So Good,George Dawson,http://images.amazon.com/images/P/0141001682.01.MZZZZZZZ.jpg
01402.5448X,10,8.0,6.0751063246882016,,,
0394800893,10,8.0,6.0751063246882016,The Sneetches and Other Stories,Dr. Seuss,http://images.amazon.com/images/P/0394800893.01.MZZZZZZZ.jpg
0399151451,20,7.0,6.046219276731201,Bad Business,Robert B. Parker,http://images.amazon.com/images/P/0399151451.01.MZZZZZZZ.jpg
0060278234,6,9.166666666666666,6.0168084329176015,Lirael: Daughter of the Clayr,Garth Nix,http://images.amazon.com/images/P/0060278234.01.MZZZZZZZ.jpg
0973047305,6,9.166666666666666,6.0168084329176015,Slide,Matteson,http://images.amazon.com/images/P/0973047305.01.MZZZZZZZ.jpg
0064471195,9,8.11111111111111,6.013446746334081,The Chronicles of Narnia Boxed Set,C. S. Lewis,http://images.amazon.com/images/P/0064471195.01.MZZZZZZZ.jpg
0394756827,10,7.9,6.0126063246882016,"Godel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,http://images.amazon.com/images/P/0394756827.01.MZZZZZZZ.jpg
0740718398,10,7.9,6.0126063246882016,When Did Ignorance Become A Point Of View,Scott Adams,http://images.amazon.com/images/P/0740718398.01.MZZZZZZZ.jpg
0395177111,24,6.791666666666667,6.006723373167041,The Hobbit (Leatherette Collector's Edition),J. R. R. Tolkien,http://images.amazon.com/images/P/0395177111.01.MZZZZZZZ.jpg
0836221362,28,6.642857142857143,5.976520623382683,It's A Magical World: A Calvin and Hobbes Collection,Bill Watterson,http://images.amazon.com/images/P/0836221362.01.MZZZZZZZ.jpg
0786918063,10,7.8,5.9501063246882016,"Test of the Twins (Dragonlance Legends, Vol. 3)",Margaret Weis,http://images.amazon.com/images/P/0786918063.01.MZZZZZZZ.jpg
0434003484,10,7.8,5.9501063246882016,,,
0805013407,10,7.8,5.9501063246882016,The Night the Bear Ate Goombaw,Patrick R. McManus,http://images.amazon.com/images/P/0805013407.01.MZZZZZZZ.jpg
0684835770,8,8.25,5.942978656786516,The BOOK OF VIRTUES,William J. Bennett,http://images.amazon.com/images/P/0684835770.01.MZZZZZZZ.jpg
0316107549,8,8.25,5.942978656786516,Classics of Western Literature: Bloom County 1986-1989,Berke Breathed,http://images.amazon.com/images/P/0316107549.01.MZZZZZZZ.jpg
01420.01740,7,8.571428571428571,5.9385923996162475,,,
0679821481,7,8.571428571428571,5.9385923996162475,Six by Seuss: A Treasury of Dr. Seuss Classics,Seuss,http://images.amazon.com/images/P/0679821481.01.MZZZZZZZ.jpg
0395282659,7,8.571428571428571,5.9385923996162475,The Hobbit,J. R. R. Tolkien,http://images.amazon.com/images/P/0395282659.01.MZZZZZZZ.jpg
1591822580,6,9.0,5.933475099584268,Chobits (Chobits),Clamp,http://images.amazon.com/images/P/1591822580.01.MZZZZZZZ.jpg
0920668372,36,6.444444444444445,5.933373837976458,Love You Forever,Robert N. Munsch,http://images.amazon.com/images/P/0920668372.01.MZZZZZZZ.jpg
0618002227,63,6.2063492063492065,5.915966683985669,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,http://images.amazon.com/images/P/0618002227.01.MZZZZZZZ.jpg
061815082X,15,7.133333333333334,5.9143667235719635,"The Hobbit (Young Adult edition, Sis cover)",J. R. R. Tolkien,http://images.amazon.com/images/P/061815082X.01.MZZZZZZZ.jpg
0152567089,14,7.214285714285714,5.9100850597505605,The Napping House,Audrey Wood,http://images.amazon.com/images/P/0152567089.01.MZZZZZZZ.jpg
0394800796,13,7.3076923076923075,5.905352694474274,How the Grinch Stole Christmas!,Dr. Seuss,http://images.amazon.com/images/P/0394800796.01.MZZZZZZZ.jpg
189205101X,10,7.7,5.8876063246882016,Guinness World Records 2001,Tim Footman,http://images.amazon.com/images/P/189205101X.01.MZZZZZZZ.jpg
0740713922,9,7.888888888888889,5.880113413000748,The Dog Is Not a Toy: House Rule #4,Darby Conley,http://images.amazon.com/images/P/0740713922.01.MZZZZZZZ.jpg
0385199570,57,6.175438596491228,5.8603444634128765,The Stand (The Complete and Uncut Edition),Stephen King,http://images.amazon.com/images/P/0385199570.01.MZZZZZZZ.jpg
0895297272,14,7.142857142857143,5.860085059750561,"Prescription for Nutritional Healing: A Practical A-Z Reference to Drug-Free Remedies Using Vitamins, Minerals, Herbs &amp; Food Supplements","James F., Md. Balch",http://images.amazon.com/images/P/0895297272.01.MZZZZZZZ.jpg
0140126708,6,8.833333333333334,5.850141766250935,,,
0684847817,11,7.454545454545454,5.835394187941836,Good Faeries Bad Faeries,Brian Froud,http://images.amazon.com/images/P/0684847817.01.MZZZZZZZ.jpg
0385493622,10,7.6,5.8251063246882016,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,http://images.amazon.com/images/P/0385493622.01.MZZZZZZZ.jpg
1563890119,27,6.481481481481482,5.824293975606401,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,http://images.amazon.com/images/P/1563890119.01.MZZZZZZZ.jpg
1563891050,8,8.0,5.800121513929373,"Fables and Reflections (Sandman, Book 6)",Neil Gaiman,http://images.amazon.com/images/P/1563891050.01.MZZZZZZZ.jpg
0140126716,18,6.777777777777778,5.800070883125467,,,
0877017883,72,6.041666666666667,5.797457707628349,Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,http://images.amazon.com/images/P/0877017883.01.MZZZZZZZ.jpg
3423205202,17,6.823529411764706,5.791378312826574,Mittsommermord. Roman.,Henning Mankell,http://images.amazon.com/images/P/3423205202.01.MZZZZZZZ.jpg
0061073628,12,7.25,5.788983399722845,A Night Without Armor : Poems,Jewel,http://images.amazon.com/images/P/0061073628.01.MZZZZZZZ.jpg
0747549508,7,8.285714285714286,5.784746245770094,,,
0618002235,39,6.230769230769231,5.7822600265558055,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,http://images.amazon.com/images/P/0618002235.01.MZZZZZZZ.jpg
0452279623,11,7.363636363636363,5.776570658530072,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,http://images.amazon.com/images/P/0452279623.01.MZZZZZZZ.jpg
074754624X,11,7.363636363636363,5.776570658530072,,,
0684871483,15,6.933333333333334,5.77150958071482,Kokology : More of the Game of Self-Discovery,Tadahiko Nagao,http://images.amazon.com/images/P/0684871483.01.MZZZZZZZ.jpg
0312205481,6,8.666666666666666,5.7668084329176015,A Fine and Bitter Snow : A Kate Shugak Novel (Kate Shugak Mysteries (Hardcover)),Dana Stabenow,http://images.amazon.com/images/P/0312205481.01.MZZZZZZZ.jpg
0064471063,37,6.216216216216216,5.748876771977005,The Horse and His Boy,C. S. Lewis,http://images.amazon.com/images/P/0064471063.01.MZZZZZZZ.jpg
1558532765,9,7.666666666666667,5.746780079667414,Wit and Wisdom from the Peanut Butter Gang,"H. Jackson, Jr. Brown",http://images.amazon.com/images/P/1558532765.01.MZZZZZZZ.jpg
0385301499,16,6.8125,5.736440963409601,Circle of Friends,Maeve Binchy,http://images.amazon.com/images/P/0385301499.01.MZZZZZZZ.jpg
0024182001,8,7.875,5.7286929425008015,Elements of Style 3ED,William Jr. Strunk,http://images.amazon.com/images/P/0024182001.01.MZZZZZZZ.jpg
1563890895,11,7.2727272727272725,5.717747129118307,"A Game of You (Sandman, Book 5)",Neil Gaiman,http://images.amazon.com/images/P/1563890895.01.MZZZZZZZ.jpg
1571458735,14,6.928571428571429,5.71008505975056,Uncle John's Ahh-Inspiring Bathroom Reader (Bathroom Reader Series),Bathroom Reader Institute,http://images.amazon.com/images/P/1571458735.01.MZZZZZZZ.jpg
0060921056,14,6.928571428571429,5.71008505975056,Letters from the Earth,Mark Twain,http://images.amazon.com/images/P/0060921056.01.MZZZZZZZ.jpg
0786915528,7,8.142857142857142,5.707823168847017,"Monster Manual: Core Rulebook III (Dungeons &amp; Dragons, Third Edition)",Skip Williams,http://images.amazon.com/images/P/0786915528.01.MZZZZZZZ.jpg
0743219333,7,8.142857142857142,5.707823168847017,Baby Catcher : Chronicles of a Modern Midwife,Peggy Vincent,http://images.amazon.com/images/P/0743219333.01.MZZZZZZZ.jpg
1563892057,7,8.142857142857142,5.707823168847017,"The Kindly Ones (Sandman, Book 9)",Neil Gaiman,http://images.amazon.com/images/P/1563892057.01.MZZZZZZZ.jpg
078691551X,7,8.142857142857142,5.707823168847017,"Dungeon Master's Guide: Core Rulebook II (Dungeons &amp; Dragons, Third Edition)",Monte Cook,http://images.amazon.com/images/P/078691551X.01.MZZZZZZZ.jpg
